FORWARD_TEXT_FORMAT_1.0
STDEP =   208.0410
ENDEP =  2542.0400
RLEV  =     0.1250
CURVENAME =  AC, CAL, GR, R4_0, RILD, RILM, RLL8, RT
END
#DEPTH            AC        CAL         GR       R4_0       RILD       RILM       RLL8         RT
 235.1660     295.271     24.354    116.116     -0.514   1200.823    553.166     13.493  -9999.000
 235.2910     295.868     24.122    108.138     -0.514    401.765    406.996     14.308  -9999.000
 235.4160     293.097     24.045    101.814     -0.514     52.125    716.241     15.380  -9999.000
 235.5410     291.507     23.945     92.715     -0.514      1.992    435.907     15.985  -9999.000
 235.6660     294.096     23.886     88.359     -0.514     53.054    182.625     15.901  -9999.000
 235.7910     299.529     23.890     91.052     -0.514    376.317    135.218     15.364  -9999.000
 235.9160     305.733     23.908     95.456     -0.514    956.365    423.493     14.582  -9999.000
 236.0410     310.709     23.883     99.232     -0.514    982.198    912.055     13.909  -9999.000
 236.1660     313.458     23.853     98.328     -0.514    415.975    524.526     13.700  -9999.000
 236.2910     315.227     23.904     97.511     -0.514     88.176    189.959     13.722  -9999.000
 236.4160     317.174     23.855    100.552     -0.514     15.907     35.553     13.634  -9999.000
 236.5410     319.880     23.752    101.708     -0.514     16.250     23.926     13.278  -9999.000
 236.6660     322.925     23.669    101.688     -0.514     17.904    324.304     12.755  -9999.000
 236.7910     324.858     23.672    103.622     -0.514     18.413    919.436     12.336  -9999.000
 236.9160     324.428     23.764    106.949     -0.514     16.946   1211.554     12.051  -9999.000
 237.0410     321.352     23.812    110.179     -0.514     16.096    613.809     12.079  -9999.000
 237.1660     316.748     23.835    105.687     -0.514     19.572    166.420     12.714  -9999.000
 237.2910     313.142     23.834     97.028     -0.514     24.257     17.004     13.724  -9999.000
 237.4160     312.035     23.753     89.790     -0.514     26.662     16.714     14.383  -9999.000
 237.5410     313.365     23.666     87.667     -0.514     28.267     16.799     14.147  -9999.000
 237.6660     314.449     23.587     91.874     -0.514     28.289     17.160     13.356  -9999.000
 237.7910     311.108     23.525     92.405     -0.514     25.439     17.837     13.154  -9999.000
 237.9160     301.694     23.491     90.094     -0.514     21.829     18.502     14.211  -9999.000
 238.0410     289.970     23.606     87.184     -0.503     20.386     18.710     16.410  -9999.000
 238.1660     286.159     23.750     88.537     -0.444     20.348     18.099     18.129  -9999.000
 238.2910     293.835     23.861     94.726     -0.222     20.361     17.176     17.138  -9999.000
 238.4160     308.314     23.836    103.033      0.251     20.378     16.429     14.509  -9999.000
